/home/nina/PycharmProjects/HW/lec_11/task_1/hohoh
/home/nina/PycharmProjects/HW/lec_2/hw1.txt
         623212 function calls (521212 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       28    0.000    0.000    0.004    0.000 sre_parse.py:844(parse)
      520    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      259    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      467    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       71    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 inspect.py:363(classify_class_attrs)
       85    0.000    0.000    0.000    0.000 enum.py:797(__or__)
      396    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       95    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
      333    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       31    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.041    0.041 core.py:50(<module>)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      399    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
        3    0.000    0.000    0.000    0.000 enum.py:625(<listcomp>)
      485    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
       10    0.000    0.000    0.000    0.000 abc.py:132(__new__)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       59    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       71    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       66    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
       47    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      207    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
      370    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
       79    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     21/9    0.000    0.000    0.023    0.003 {built-in method builtins.__import__}
    108/2    0.000    0.000    0.043    0.021 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        3    0.000    0.000    0.001    0.000 enum.py:366(_create_)
       28    0.000    0.000    0.004    0.000 sre_compile.py:542(_code)
    35/23    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      108    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      221    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.000    0.000 threading.py:203(Condition)
       49    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
       19    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
       48    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       28    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        1    0.000    0.000    0.008    0.008 inspect.py:27(<module>)
       28    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       90    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        4    0.000    0.000    0.000    0.000 enum.py:839(_decompose)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      370    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        4    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       54    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       21    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
       34    0.000    0.000    0.000    0.000 argparse.py:1287(register)
        6    0.000    0.000    0.000    0.000 argparse.py:1316(add_argument)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
      292    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       44    0.000    0.000    0.000    0.000 inspect.py:91(ismethoddescriptor)
       90    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        8    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
       10    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        6    0.000    0.000    0.000    0.000 argparse.py:166(__init__)
       10    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        9    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       15    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      153    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      145    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.003    0.003 subprocess.py:42(<module>)
        2    0.000    0.000    0.000    0.000 gettext.py:466(find)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:857(<listcomp>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        3    0.000    0.000    0.001    0.000 enum.py:604(_convert)
